	0
casa	1085
vecino	895
salir	747
ver	668
puerta	642
mirar	622
pasar	598
vivir	541
volver	539
poder	532
decir	482
llegar	446
pensar	439
dejar	433
sentir	432
ventana	426
vida	418
querer	410
hacer	407
mano	407
año	404
llamar	397
haber	387
ir	385
abrir	382
escuchar	382
calle	381
encontrar	371
noche	362
hijo	357
tener	337
poner	333
pequeño	333
entrar	331
pisar	323
parecer	312
mujer	306
hablar	300
estar	300
niño	299
ojo	296
venir	295
esperar	294
vestir	293
seguir	292
personar	282
dar	281
preguntar	279
mañana	275
quedar	274
edificio	274
saber	267
hombre	266
llevar	262
balcón	259
empezar	257
señor	253
soler	239
padre	237
madre	236
comer	222
formar	221
conocer	219
viejo	218
cabeza	218
mundo	217
caer	217
voz	216
oír	216
semana	216
gente	216
gustar	215
tomar	213
luz	202
alguien	200
comenzar	199
contar	196
cerrar	193
recordar	190
acabar	187
comprar	187
palabra	186
barrio	183
dormir	183
deber	181
familia	178
escalera	178
subir	177
frente	177
caro	176
chico	176
ser	174
paso	174
hora	167
mesar	166
buscar	164
caminar	163
bajar	163
sacar	162
jugar	161
correr	161
cambiar	160
gritar	160
tocar	158
cocinar	158
único	158
e	157
pedir	153
tratar	152
pared	152
entender	151
silenciar	149
terminar	149
decidir	149
amor	148
creer	146
perder	146
sentar	143
morir	142
joven	141
habitación	139
par	137
perro	135
ruido	134
cuerpo	134
ascensor	134
acercar	130
amigo	129
seguro	128
leer	128
sol	128
sonrisa	127
ayudar	126
pie	126
punto	125
abajar	125
minuto	124
cuartar	124
aparecer	123
ocurrir	123
coser	122
músico	122
levantar	121
plantar	121
traer	120
asomar	119
patio	118
maridar	118
observar	118
echar	117
gracia	116
nombrar	116
historia	115
preparar	115
saludar	114
miedo	113
don	112
cama	110
abuelo	109
aire	109
anciano	108
escribir	108
sonreír	107
tanto	106
necesitar	105
siquiera	105
descubrir	105
parejo	104
bolsa	104
vecindario	104
compartir	103
regresar	103
situación	102
brazo	101
alto	100
policía	100
meter	100
sonido	99
responder	98
tender	98
tirar	98
sonar	98
parar	98
coger	98
olor	97
malo	97
tipo	97
ideo	97
olvidar	97
cruzar	97
aguar	96
pasillo	96
café	96
ciudad	95
justar	95
esquinar	95
imaginar	95
reír	94
derecho	94
realidad	94
forzar	93
3	93
cantar	93
andar	91
blanco	91
falto	91
ganar	91
librar	90
número	90
boca	90
ropa	90
salón	90
resultar	90
negro	89
medio	89
gato	88
pelar	88
conversación	88
bañar	87
cuidar	87
rato	86
golpe	86
confinamiento	86
rostro	86
corazón	86
apartamento	86
aplaudir	85
marcar	85
encerrar	84
noto	84
edad	84
comunidad	83
suerte	83
llenar	83
llorar	82
extraño	82
mover	82
mantener	82
atrás	82
quedo	82
interior	82
acompañar	82
dirigir	82
atención	82
largo	81
fuerte	80
notar	80
terraza	80
caja	80
cuarentena	79
problema	79
dudar	78
importar	78
temer	78
junto	77
lleno	77
cielo	76
convertir	76
disponer	75
despertar	75
allá	75
jardín	75
espalda	75
carta	74
poblar	74
extrañar	73
pasear	73
restar	73
evitar	73
mente	73
basura	73
intentar	72
colgar	72
tarde	72
recibir	72
encender	72
cenar	71
partir	71
lograr	71
dedo	71
soñar	71
feliz	71
pesar	70
preocupar	69
instante	69
hogar	69
llave	69
muerte	69
hermano	68
visitar	68
espaciar	68
suceder	68
pobre	68
rojo	67
silla	67
grito	67
matar	67
teléfono	67
metro	67
mes	66
sensación	66
repetir	66
clase	65
permitir	65
portal	65
pagar	65
faltar	64
regalar	64
aplauso	64
marchar	64
blocar	64
recoger	64
cubrir	64
fondo	64
sombrar	63
rápido	63
papel	63
canción	63
desear	63
jamás	63
abandonar	63
película	63
color	63
izquierdo	62
enterar	62
cargar	62
detener	62
libro	62
romper	62
imagen	62
disfrutar	62
grande	62
techar	62
rellanar	61
colocar	61
loco	61
risa	61
principiar	61
guardar	61
presentar	60
conseguir	60
distanciar	60
noticiar	60
reunión	60
timbrar	60
apoyar	60
cortar	60
respuesta	60
freír	60
cuadro	60
tranquilo	59
pegar	59
novio	59
pintar	59
bailar	59
difícil	59
televisión	58
preferir	58
mostrar	58
verde	58
servir	57
escena	57
verano	57
alma	57
alcanzar	57
animal	57
muchacho	57
colorir	57
favor	57
mandar	56
vacío	56
girar	56
razón	56
dedicar	56
contestar	56
hoja	55
suficiente	55
móvil	55
amar	55
respirar	55
distinto	54
mil	54
centrar	54
piso	54
separar	54
desaparecer	54
foto	54
amigar	54
enorme	54
bajo	53
alejar	53
dueño	53
capaz	53
trabajar	53
viento	53
limpiar	53
dulce	52
saltar	52
domingo	52
estudiar	52
escapar	52
virus	52
triste	52
costar	52
suponer	52
apagar	52
golpear	51
agradecer	51
departamento	51
costumbre	51
encantar	51
vivienda	51
ofrecer	51
sorpresa	51
compañero	51
flor	50
común	50
alegría	50
cansar	50
diez	50
invitar	50
abrazar	50
mudar	50
diario	49
grupo	49
fiesta	49
sitiar	49
volar	49
recorrer	49
mensaje	49
contrario	49
oscuro	49
penar	49
sorprender	48
hermoso	48
desconocer	48
seriar	48
aprender	48
raro	48
esconder	48
segundo	48
fumar	48
humo	48
normal	48
lanzar	48
completar	47
rápidamente	47
anunciar	47
tono	47
movimiento	47
ocupar	47
bonito	47
obrar	47
piel	47
país	46
familiar	46
esposo	46
cuyo	46
cortina	46
recuerdo	46
dinero	46
encargar	46
tío	46
momento	46
inquilino	46
continuar	46
vaso	46
imposible	46
mamá	45
pan	45
reconocer	45
sofá	45
nieto	45
perfecto	45
descansar	45
hospital	44
vaciar	44
pensamiento	44
respetar	44
besar	44
destinar	44
dolor	44
vender	44
durar	44
desayunar	43
humanar	43
cristal	43
oscuridad	43
charlar	43
lluvia	43
avisar	43
veinte	43
mayoría	43
esperanzar	43
pierna	43
despedir	43
acaso	43
fuego	43
viajar	43
árbol	42
bar	42
comprender	42
tele	42
iniciar	42
aprovechar	42
labio	42
rutina	42
realmente	42
habitual	42
culpar	42
aforar	41
rodear	41
altura	41
especial	41
especie	41
proponer	40
calor	40
tierra	40
seguramente	40
barrer	40
sangrar	40
coche	40
causar	39
orden	39
necesidad	39
importante	39
azotea	39
fijar	39
cumpleaños	39
madrugar	39
molestar	39
frase	39
cariño	39
explicar	39
contener	39
acostumbrar	39
pantalón	39
sábado	38
crecer	38
cerveza	38
futuro	38
gris	38
salar	38
simplemente	38
quitar	38
mayor	38
azul	38
esforzar	38
oler	38
lento	37
beber	37
hombro	37
comentar	37
avanzar	37
gestar	37
amarillo	37
soltar	37
mejorar	37
agarrar	37
envolver	37
zona	37
armar	37
maderar	37
relación	37
plato	37
mirilla	37
soledad	37
quintar	36
persiano	36
social	36
unir	36
cigarrillo	36
necesario	36
devolver	36
paz	36
parque	36
cualquiera	36
tapar	36
enviar	36
convencer	36
lágrima	36
simple	36
ay	36
botella	36
alegrar	36
aceptar	36
curioso	36
principal	36
mitad	36
cercano	36
fin	36
darle	35
soportar	35
presenciar	35
animar	35
arreglar	35
interrumpir	35
fácil	35
asunto	35
clavar	35
nube	35
tardar	35
volumen	35
galleta	35
real	35
robar	35
listo	35
cumplir	34
enseñar	34
médico	34
divertir	34
existir	34
supermercado	34
ajeno	34
estrellar	34
melodía	34
completamente	34
pandemia	34
acordar	34
parir	34
mar	34
camisa	34
carcajada	34
suave	34
entregar	34
huir	34
ocasión	34
vivo	33
compañía	33
recién	33
pendiente	33
papá	33
mascarilla	33
hermanar	33
invadir	33
nariz	33
ocasionar	33
asentir	33
agente	33
permanecer	33
reloj	33
memoria	32
sábana	32
figurar	32
crear	32
zapato	32
cuello	32
corto	32
guante	32
pelear	32
palmar	32
agradable	32
soldar	32
pleno	32
televisor	32
dibujar	32
obligar	32
aburrir	32
fresco	32
montar	32
nervioso	31
campar	31
existencia	31
personal	31
llover	31
utilizar	31
atrever	31
desgraciar	31
gafo	31
habitar	31
treinta	31
rotar	31
joder	31
adentrar	31
provocar	31
finalmente	31
citar	31
tiempo	31
favorito	31
solitario	30
habitante	30
producir	30
querido	30
pintura	30
secar	30
bolsillo	30
personaje	30
horario	30
relatar	30
arrastrar	30
probar	30
elegir	30
intención	30
gordo	30
mezclar	30
época	30
alzar	30
diferenciar	30
manchar	30
considerar	30
natural	30
reflejar	30
acto	30
sospechar	30
indicar	29
rubio	29
comprobar	29
auto	29
calcetín	29
actividad	29
cuerdo	29
decirle	29
oportunidad	29
quemar	29
seguridad	29
amenazar	29
felicidad	29
duro	29
viernes	29
exterior	29
amable	29
portero	29
6	29
felpudo	29
perfectamente	29
sostener	29
plaza	29
maldito	29
sufrir	29
salvar	29
pastar	29
sueño	28
cuadrar	28
fantasma	28
apartar	28
plástico	28
velar	28
aguantar	28
hallar	28
atravesar	28
gota	28
letra	28
siesta	28
cabo	28
amanecer	28
luchar	28
medir	28
vergüenza	28
sentimiento	28
recuperar	28
atender	28
escoba	27
presidente	27
chocolate	27
calmo	27
profundar	27
insistir	27
mierda	27
tejer	27
odiar	27
funcionar	27
brillar	27
ambulancia	27
jueves	27
tonto	27
señalar	27
aspecto	27
negar	27
plan	27
firmar	27
doblar	27
llanto	26
tranquilidad	26
salud	26
garganta	26
lunes	26
santo	26
nuevamente	26
belleza	26
morar	26
puro	26
desesperar	26
domiciliar	26
mueble	26
fruto	26
invisible	26
complicar	26
camiseta	26
molesto	26
espejar	26
mínimo	26
construir	26
polvo	26
antiguo	26
cuestión	26
acariciar	26
puto	26
ah	26
calentar	26
guerra	26
distinguir	25
chino	25
tamaño	25
prender	25
posibilidad	25
disculpar	25
semejante	25
secretar	25
libertar	25
dirección	25
acerar	25
enfermedad	25
contemplar	25
humano	25
superior	25
novelar	25
banco	25
pechar	25
asustar	25
enfadar	25
oreja	25
rincón	25
usar	25
absurdo	25
aromar	25
inundar	25
nacer	25
bello	25
líneo	25
fuerza	25
verlo	25
jubilar	25
alquiler	25
acostar	25
respiración	25
sillón	24
portón	24
pieza	24
empujar	24
cuarenta	24
rezar	24
asombrar	24
acudir	24
suelto	24
iluminar	24
no	24
rata	24
camión	24
significar	24
princesa	24
alentar	24
luna	24
fachado	24
bombero	24
prisa	24
oficina	24
vuelta	24
escritor	24
estirar	24
motivar	24
periódico	24
colegiar	24
azúcar	24
eterno	24
programar	24
cartel	24
10	23
conversar	23
circunstancia	23
sanitario	23
atar	23
referir	23
bolso	23
arte	23
colar	23
temor	23
paloma	23
duchar	23
curiosidad	23
diminuto	23
alarmar	23
inmediato	23
matrimoniar	23
mejilla	23
leche	23
explicación	23
imaginación	23
lejano	23
punta	23
público	23
radiar	23
helar	23
merecer	23
lentamente	23
quedarme	23
tornar	23
percatar	23
reunir	23
equivocar	23
página	23
trabajador	23
opción	23
lavar	23
primavera	22
sudor	22
agitar	22
energía	22
señal	22
menor	22
pijama	22
valer	22
hueso	22
profesor	22
mascota	22
quiero	22
contactar	22
caber	22
lector	22
surgir	22
hueco	22
pájaro	22
montón	22
orar	22
disimular	22
absoluto	22
envidiar	22
asegurar	22
gastar	22
comedor	22
viudo	22
batir	22
emitir	22
esposar	22
prometer	22
apreciar	22
hambre	22
terrible	22
profesional	22
ritual	22
tumbar	22
impedir	22
jefe	22
próximo	22
maleta	22
tendedero	22
herir	22
oficial	22
ley	21
carrera	21
ritmar	21
ala	21
contiguo	21
taza	21
barandilla	21
percibir	21
diente	21
adulto	21
aumentar	21
poseer	21
importancia	21
primero	21
comunicar	21
infinito	21
deslizar	21
expresión	21
pañuelo	21
cigarro	21
seco	21
apetecer	21
